PRECINCT NAME,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,                                                                                                                       
,DEM,REP,CON,WOR,,,,                                                                                                                                                              
,Letitia A. James,Michael Henry,Michael Henry,Letitia A. James,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                                       
Haverstraw 19,119,99,21,1,0,1,11,
Haverstraw 20,200,213,36,11,0,0,16,
Haverstraw 21,160,96,8,3,1,0,11,
Haverstraw 22,217,350,34,12,0,0,20,
Haverstraw 23,140,239,35,8,1,0,7,
Haverstraw 24,87,71,17,3,0,0,4,
Haverstraw 25,100,181,12,3,0,0,19,
Haverstraw 26,44,65,8,3,0,0,3,
Haverstraw 27,11,28,2,3,0,0,0,
Haverstraw 28,93,77,5,2,0,2,7,
Haverstraw 29,118,146,12,4,0,0,9,
Haverstraw 30,140,104,9,14,0,1,12,
Haverstraw 31,131,85,5,11,0,0,8,
Haverstraw 32,19,4,0,1,0,0,5,
Haverstraw 33,165,134,14,14,0,0,6,
Orangetown 1,508,186,15,33,0,1,18,
Orangetown 2,374,76,8,43,0,0,10,
Orangetown 3,122,261,28,15,0,0,8,
Orangetown 4,88,163,16,12,0,0,5,
Orangetown 5,297,53,10,41,0,0,11,
Orangetown 6,120,120,5,9,0,0,4,
Orangetown 7,204,38,4,49,0,1,10,
Orangetown 8,246,64,5,40,0,0,8,
Orangetown 9,263,406,52,18,0,0,18,
Orangetown 10,142,218,18,7,0,0,6,
Orangetown 11,363,78,15,82,1,0,12,
Orangetown 12,307,151,22,18,1,0,10,
Orangetown 13,211,152,24,15,0,0,6,
Orangetown 14,303,75,11,26,0,0,8,
Orangetown 15,136,46,4,14,1,0,10,
Orangetown 16,247,143,29,17,0,0,17,
Orangetown 17,143,286,40,7,0,0,11,
Orangetown 18,266,78,8,44,0,0,10,
Orangetown 19,101,240,35,15,0,0,11,
Orangetown 20,168,425,48,20,0,0,17,
Orangetown 21,196,146,20,21,2,0,11,
Orangetown 22,133,325,35,13,0,0,7,
Orangetown 23,78,248,41,3,0,0,12,
Orangetown 24,111,249,29,11,0,1,15,
Orangetown 25,85,251,25,4,0,0,3,
Orangetown 26,209,339,45,16,1,0,10,
Orangetown 27,104,238,27,4,0,0,12,
Orangetown 28,177,255,51,18,1,0,15,
Orangetown 29,116,303,27,12,0,0,6,
Orangetown 30,89,239,25,9,0,0,6,
Orangetown 31,0,2,0,0,0,0,0,
Orangetown 32,95,39,4,17,0,0,5,
Orangetown 33,284,166,22,21,1,0,9,
Orangetown 34,121,257,38,8,0,0,16,
Orangetown 36,10,7,1,2,1,1,0,
Orangetown 39,163,174,19,11,0,0,10,
Orangetown 40,123,159,15,9,0,0,5,
Orangetown 41,194,379,51,19,2,0,18,
Orangetown 42,180,213,39,22,0,0,10,
Orangetown 43,105,266,37,10,0,0,8,
Orangetown 45,122,336,54,11,0,0,9,
Orangetown 46,249,91,14,11,0,0,6,
Orangetown 47,152,248,25,17,0,1,6,
Orangetown 48,314,101,10,32,0,0,6,
Orangetown 49,205,287,28,13,0,0,11,
Orangetown 50,168,154,13,15,0,0,5,
Orangetown 51,141,158,17,2,0,0,5,
Orangetown 53,137,264,28,5,0,0,11,
Orangetown 54,75,186,31,9,0,0,6,
Orangetown 55,169,249,31,15,0,0,11,
Orangetown 56,158,191,17,11,1,0,3,
Orangetown 57,105,117,16,8,0,0,9,
Ramapo 1,125,249,27,4,0,0,18,
Ramapo 2,285,216,30,22,1,0,20,
Ramapo 3,143,194,49,13,0,0,94,
Ramapo 4,115,179,30,12,0,0,5,
Ramapo 5,138,119,11,6,0,0,12,
Ramapo 6,120,32,10,3,0,0,10,
Ramapo 7,182,116,23,14,0,0,14,
Ramapo 8,197,58,13,2,0,0,34,
Ramapo 9,101,151,33,8,0,0,18,
Ramapo 10,242,42,4,6,0,0,5,
Ramapo 11,130,121,21,15,0,0,9,
Ramapo 12,146,30,4,5,0,0,25,
Ramapo 13,201,72,18,5,0,0,35,
Ramapo 14,82,176,53,1,0,0,95,
Ramapo 15,98,161,17,3,0,0,8,
Ramapo 16,316,218,14,17,0,1,18,
Ramapo 17,254,253,33,41,1,0,31,
Ramapo 18,38,215,42,2,1,0,55,
Ramapo 19,220,278,44,17,1,0,58,
Ramapo 20,35,127,30,3,0,0,26,
Ramapo 21,87,95,85,4,5,0,160,
Ramapo 22,35,33,4,0,0,0,5,
Ramapo 23,173,45,12,2,0,0,11,
Ramapo 24,23,197,24,1,0,0,64,
Ramapo 25,24,96,42,2,0,0,86,
Ramapo 26,98,80,30,0,3,0,94,
Ramapo 27,166,155,20,7,1,0,17,
Ramapo 28,57,208,57,1,1,1,93,
Ramapo 29,227,253,58,8,3,0,60,
Ramapo 30,50,107,44,0,5,0,184,
Ramapo 31,221,246,30,18,0,0,17,
Ramapo 32,82,112,18,4,0,0,12,
Ramapo 33,33,133,29,1,0,0,26,
Ramapo 34,129,219,57,11,4,0,89,
Ramapo 35,246,74,47,5,7,0,132,
Ramapo 36,86,221,78,4,0,0,131,
Ramapo 37,82,273,38,4,0,0,18,
Ramapo 38,87,339,47,3,0,0,60,
Ramapo 39,123,190,28,14,0,0,4,
Ramapo 40,54,227,79,3,3,1,162,
Ramapo 41,32,147,43,0,0,0,73,
Ramapo 42,133,15,4,4,0,0,6,
Ramapo 43,227,202,38,9,1,0,70,
Ramapo 44,74,256,36,5,0,0,16,
Ramapo 45,10,17,12,0,1,0,29,
Ramapo 46,100,106,27,4,0,0,22,
Ramapo 47,229,38,11,11,0,0,8,
Ramapo 48,91,131,18,7,0,0,6,
Ramapo 49,34,89,36,1,0,0,82,
Ramapo 50,164,92,23,9,0,0,15,
Ramapo 51,241,86,27,4,1,0,51,
Ramapo 52,43,54,37,2,1,1,45,
Ramapo 53,86,48,25,0,0,0,36,
Ramapo 54,128,289,37,4,0,0,40,
Ramapo 55,758,25,12,1,0,1,23,
Ramapo 56,23,225,35,1,0,0,53,
Ramapo 57,111,166,51,8,0,0,52,
Ramapo 58,480,33,11,0,0,0,21,
Ramapo 59,147,298,46,12,1,0,37,
Ramapo 60,35,138,53,2,0,0,80,
Ramapo 61,170,119,18,4,0,0,10,
Ramapo 62,115,143,15,5,0,0,8,
Ramapo 63,218,11,0,4,1,0,16,
Ramapo 64,83,158,52,3,2,0,132,
Ramapo 65,150,36,6,2,1,0,20,
Ramapo 66,200,133,10,12,0,0,14,
Ramapo 67,164,187,40,18,0,0,78,
Ramapo 68,130,131,21,4,0,0,34,
Ramapo 69,199,163,14,7,0,0,9,
Ramapo 70,228,44,5,6,0,0,18,
Ramapo 71,125,85,44,4,2,0,98,
Ramapo 72,22,57,7,2,0,0,4,
Ramapo 73,76,66,11,1,1,0,7,
Ramapo 74,76,131,49,1,1,0,116,
Ramapo 75,138,100,27,10,1,0,4,
Ramapo 76,108,186,24,8,0,0,22,
Ramapo 77,163,122,23,11,0,0,4,
Ramapo 78,157,96,15,7,0,0,12,
Ramapo 79,215,182,18,8,0,0,6,
Ramapo 80,149,263,52,6,1,1,47,
Ramapo 81,102,35,2,11,0,0,6,
Ramapo 82,123,67,5,6,2,0,8,
Ramapo 83,206,142,14,14,0,1,16,
Ramapo 84,51,164,49,2,0,0,111,
Ramapo 85,123,183,89,2,3,1,139,
Ramapo 86,25,218,26,3,1,0,29,
Ramapo 87,100,27,3,3,0,0,9,
Ramapo 88,73,149,80,7,7,0,173,
Ramapo 89,161,25,6,6,0,0,16,
Ramapo 90,205,189,22,11,0,1,42,
Ramapo 91,50,29,5,6,0,0,6,
Ramapo 92,138,86,6,3,0,0,2,
Ramapo 93,85,135,64,0,2,1,216,
Ramapo 94,204,36,4,1,0,0,15,
Ramapo 95,455,30,7,1,0,0,7,
Ramapo 96,113,183,78,6,4,1,247,
Ramapo 97,241,62,33,3,1,0,117,
Ramapo 98,656,22,5,1,0,0,17,
Ramapo 99,14,12,7,0,1,0,16,
Ramapo 100,2,0,0,0,0,0,1,
Ramapo 101,21,36,17,0,0,0,36,
Ramapo 102,8,52,14,0,0,0,46,
Ramapo 103,14,59,8,1,0,0,19,
Ramapo 104,8,8,1,0,0,0,3,
Ramapo 105,8,2,0,0,0,0,0,
Ramapo 106,0,6,1,0,0,0,1,
Ramapo 107,3,1,0,1,0,0,0,
Ramapo 108,24,5,2,1,0,0,0,
Ramapo 110,54,68,8,3,0,0,3,
Ramapo 111,91,85,48,3,2,0,103,
Ramapo 112,46,171,58,4,1,0,142,
Ramapo 113,20,188,26,1,0,0,44,
Ramapo 114,36,132,53,1,0,0,67,
Ramapo 115,172,48,10,9,0,0,16,
Ramapo 116,23,140,43,1,2,1,90,
Ramapo 117,157,95,56,1,4,0,103,
Ramapo 118,397,12,5,1,0,0,10,
Stony Point 1,130,201,37,9,0,0,12,
Stony Point 2,208,278,37,10,1,0,13,
Stony Point 3,115,238,33,8,1,1,10,
Stony Point 4,175,367,31,9,0,0,6,
Stony Point 5,104,177,21,8,0,0,6,
Stony Point 6,150,265,16,14,0,1,13,
Stony Point 7,168,321,39,13,0,0,18,
Stony Point 8,152,340,41,11,0,0,6,
Stony Point 9,112,195,20,7,0,0,6,
Stony Point 10,98,209,15,12,0,1,10,
Stony Point 11,132,245,24,4,0,0,9,
Stony Point 12,149,276,39,14,1,0,14,
Stony Point 13,137,235,26,8,0,0,8,
Stony Point 14,76,173,21,7,0,0,5,
COUNTY TOTALS,46887,46379,6902,2921,113,38,7027,
