PRECINCT NAME,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,Representative in Congress 17th Congressional District  ,                                                                                                                                           
,DEM,REP,CON,WOR,,,,                                                                                                                                                              
,Sean Patrick Maloney,Mike Lawler,Mike Lawler,Sean Patrick Maloney,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                                   
Haverstraw 15,122,161,8,4,0,0,7,
Haverstraw 16,235,105,8,7,0,1,25,
Haverstraw 17,186,209,25,6,0,0,8,
Haverstraw 18,232,77,9,8,1,0,17,
Haverstraw 19,107,114,22,2,0,0,7,
Haverstraw 20,189,237,32,11,0,0,7,
Haverstraw 21,158,100,8,3,1,0,9,
Haverstraw 22,212,364,33,11,0,0,13,
Haverstraw 23,133,246,36,7,0,0,8,
Haverstraw 24,87,75,16,3,0,0,1,
Haverstraw 25,100,194,14,3,0,0,4,
Haverstraw 26,48,67,4,3,0,0,1,
Haverstraw 27,12,30,0,2,0,0,0,
Haverstraw 28,90,81,5,2,0,1,7,
Haverstraw 29,124,152,11,2,0,0,0,
Haverstraw 30,136,117,8,8,0,0,11,
Haverstraw 31,128,83,8,10,0,0,11,
Haverstraw 32,22,2,0,0,0,0,5,
Haverstraw 33,161,138,16,10,0,0,8,
Orangetown 1,514,194,16,28,1,0,8,
Orangetown 2,378,77,5,32,1,0,18,
Orangetown 3,131,263,27,8,0,0,5,
Orangetown 4,81,170,17,11,0,0,5,
Orangetown 5,304,59,9,29,0,0,11,
Orangetown 6,120,117,9,9,0,0,3,
Orangetown 7,204,38,5,43,1,0,15,
Orangetown 8,245,69,5,34,0,0,10,
Orangetown 9,258,421,47,14,0,0,17,
Orangetown 10,141,221,17,8,0,0,4,
Orangetown 11,390,75,18,61,2,0,5,
Orangetown 12,309,163,18,15,1,0,3,
Orangetown 13,206,161,24,12,0,0,5,
Orangetown 14,305,79,10,25,1,0,3,
Orangetown 15,139,47,4,15,2,0,4,
Orangetown 16,246,153,26,13,2,0,13,
Orangetown 17,145,295,32,8,1,0,6,
Orangetown 18,273,79,8,40,1,0,5,
Orangetown 19,105,253,33,10,0,0,1,
Orangetown 20,169,440,49,14,1,1,4,
Orangetown 21,205,154,19,16,0,0,2,
Orangetown 22,135,327,33,13,1,1,3,
Orangetown 23,76,259,38,2,0,0,7,
Orangetown 24,108,270,29,5,1,0,3,
Orangetown 25,84,258,19,4,0,0,3,
Orangetown 26,206,356,38,14,1,0,5,
Orangetown 27,106,247,24,4,1,0,3,
Orangetown 28,180,267,52,14,0,0,4,
Orangetown 29,119,310,22,8,1,0,4,
Orangetown 30,91,241,25,3,0,1,7,
Orangetown 31,0,2,0,0,0,0,0,
Orangetown 32,98,46,3,10,1,0,2,
Orangetown 33,290,167,18,23,1,0,4,
Orangetown 34,125,260,40,9,0,0,6,
Orangetown 36,10,7,1,2,0,1,1,
Orangetown 39,158,181,21,9,0,0,8,
Orangetown 40,125,164,11,9,0,0,2,
Orangetown 41,203,393,44,16,2,0,5,
Orangetown 42,180,230,33,20,0,0,1,
Orangetown 43,105,269,39,6,0,0,7,
Orangetown 45,115,351,52,11,0,0,3,
Orangetown 46,249,93,11,10,0,0,8,
Orangetown 47,144,265,22,16,0,0,2,
Orangetown 48,321,105,7,27,0,0,3,
Orangetown 49,199,296,29,11,0,0,9,
Orangetown 50,172,156,10,11,0,0,6,
Orangetown 51,137,168,14,3,0,0,1,
Orangetown 53,137,269,29,5,0,0,5,
Orangetown 54,76,195,27,7,0,0,2,
Orangetown 55,179,245,28,15,0,0,8,
Orangetown 56,157,192,17,9,0,0,6,
Orangetown 57,110,121,13,7,0,0,4,
Ramapo 1,128,250,34,1,0,1,9,
Ramapo 2,285,229,31,18,0,0,11,
Ramapo 3,132,235,112,5,0,1,8,
Ramapo 4,120,181,25,10,0,0,5,
Ramapo 5,130,126,13,4,1,0,12,
Ramapo 6,107,43,16,3,0,0,6,
Ramapo 7,183,124,24,11,0,0,7,
Ramapo 8,184,66,24,5,0,0,25,
Ramapo 9,87,159,53,8,0,0,4,
Ramapo 10,235,45,3,6,0,0,10,
Ramapo 11,129,130,17,12,0,1,7,
Ramapo 12,142,33,12,4,0,0,19,
Ramapo 13,189,89,24,4,0,1,24,
Ramapo 14,53,223,116,0,1,1,13,
Ramapo 15,97,161,14,6,0,0,9,
Ramapo 16,315,221,11,14,0,1,22,
Ramapo 17,250,265,48,36,0,0,14,
Ramapo 18,28,248,69,1,1,0,6,
Ramapo 19,202,317,75,12,0,0,12,
Ramapo 20,21,158,37,1,0,0,4,
Ramapo 21,76,155,188,3,2,0,12,
Ramapo 22,34,39,4,0,0,0,0,
Ramapo 23,167,51,13,2,0,0,10,
Ramapo 24,21,219,63,1,0,0,5,
Ramapo 25,8,155,81,0,0,1,5,
Ramapo 26,71,120,92,1,2,0,19,
Ramapo 27,165,151,27,8,0,0,15,
Ramapo 28,46,250,114,1,1,1,5,
Ramapo 29,215,295,76,5,1,1,16,
Ramapo 30,33,189,150,0,3,0,15,
Ramapo 31,226,252,28,13,0,0,13,
Ramapo 32,80,125,19,3,0,0,1,
Ramapo 33,32,146,43,1,0,0,0,
Ramapo 34,124,244,129,5,3,1,3,
Ramapo 35,223,140,96,4,2,1,45,
Ramapo 36,54,269,181,0,0,0,16,
Ramapo 37,87,273,46,3,0,0,6,
Ramapo 38,76,366,83,2,0,0,9,
Ramapo 39,123,192,23,14,0,0,7,
Ramapo 40,39,285,195,1,2,1,6,
Ramapo 41,18,170,102,2,0,0,3,
Ramapo 42,136,14,4,2,0,0,6,
Ramapo 43,215,237,72,7,0,0,16,
Ramapo 44,76,270,30,6,0,0,5,
Ramapo 45,10,28,30,0,0,0,1,
Ramapo 46,88,119,45,5,0,0,2,
Ramapo 47,219,46,8,9,1,0,14,
Ramapo 48,88,131,16,12,0,0,6,
Ramapo 49,31,116,89,0,0,0,6,
Ramapo 50,162,103,26,8,0,0,4,
Ramapo 51,231,106,45,5,0,0,23,
Ramapo 52,28,78,73,1,0,0,3,
Ramapo 53,85,60,44,0,0,1,5,
Ramapo 54,127,316,43,4,0,0,8,
Ramapo 55,743,48,19,1,0,2,7,
Ramapo 56,21,243,69,1,0,0,3,
Ramapo 57,94,188,95,5,0,0,6,
Ramapo 58,482,40,16,0,0,0,7,
Ramapo 59,146,309,66,11,2,0,7,
Ramapo 60,25,172,103,1,0,0,7,
Ramapo 61,172,122,15,5,0,0,7,
Ramapo 62,108,152,19,3,0,0,4,
Ramapo 63,214,14,0,5,1,0,16,
Ramapo 64,63,207,146,3,0,0,11,
Ramapo 65,141,44,14,1,0,0,15,
Ramapo 66,200,141,11,14,1,0,2,
Ramapo 67,167,220,74,14,2,0,10,
Ramapo 68,123,155,33,2,1,0,6,
Ramapo 69,195,167,18,6,0,0,6,
Ramapo 70,227,51,8,1,0,1,13,
Ramapo 71,114,136,90,1,2,0,15,
Ramapo 72,24,55,9,2,0,0,2,
Ramapo 73,73,69,13,0,0,0,7,
Ramapo 74,72,169,127,1,0,0,5,
Ramapo 75,143,103,26,6,0,0,2,
Ramapo 76,110,190,35,4,1,0,8,
Ramapo 77,162,131,21,6,0,0,3,
Ramapo 78,163,97,14,8,0,0,5,
Ramapo 79,219,182,18,5,0,0,5,
Ramapo 80,138,305,60,6,1,0,9,
Ramapo 81,105,29,6,12,0,0,4,
Ramapo 82,126,70,5,4,1,0,5,
Ramapo 83,206,148,12,17,1,1,8,
Ramapo 84,26,218,123,0,0,0,10,
Ramapo 85,96,250,164,2,3,0,25,
Ramapo 86,14,249,31,2,0,0,6,
Ramapo 87,99,29,4,5,0,0,5,
Ramapo 88,49,236,186,3,4,2,9,
Ramapo 89,150,31,11,6,0,0,16,
Ramapo 90,206,203,37,10,0,0,14,
Ramapo 91,50,31,10,3,0,0,2,
Ramapo 92,138,87,6,2,0,0,2,
Ramapo 93,57,224,204,0,5,3,10,
Ramapo 94,200,36,6,2,0,0,16,
Ramapo 95,441,40,10,4,0,1,4,
Ramapo 96,75,309,224,4,1,0,19,
Ramapo 97,215,125,73,3,5,1,35,
Ramapo 98,660,28,5,2,0,0,6,
Ramapo 99,9,22,18,0,0,0,1,
Ramapo 100,0,0,1,2,0,0,0,
Ramapo 101,16,57,36,0,0,0,1,
Ramapo 102,3,73,44,0,0,0,0,
Ramapo 103,15,69,14,1,1,0,1,
Ramapo 104,10,9,1,0,0,0,0,
Ramapo 105,8,2,0,0,0,0,0,
Ramapo 106,0,8,0,0,0,0,0,
Ramapo 107,3,1,0,1,0,0,0,
Ramapo 108,22,6,2,1,0,0,1,
Ramapo 110,55,70,7,4,0,0,0,
Ramapo 111,68,138,108,1,1,0,16,
Ramapo 112,35,222,147,3,1,0,14,
Ramapo 113,22,190,63,0,0,0,4,
Ramapo 114,25,161,99,0,1,0,3,
Ramapo 115,165,57,15,5,0,0,13,
Ramapo 116,12,175,106,1,0,1,5,
Ramapo 117,141,145,105,1,5,2,17,
Ramapo 118,400,18,3,0,0,0,4,
Stony Point 1,133,204,36,6,0,0,10,
Stony Point 2,212,280,34,7,0,0,14,
Stony Point 3,111,256,29,8,0,0,2,
Stony Point 4,175,370,29,11,0,0,3,
Stony Point 5,99,183,17,10,1,0,6,
Stony Point 6,145,270,20,14,0,1,9,
Stony Point 7,177,321,36,12,0,1,12,
Stony Point 8,150,345,39,11,0,0,5,
Stony Point 9,114,197,18,7,0,0,4,
Stony Point 10,90,211,20,13,0,1,10,
Stony Point 11,134,253,19,3,0,0,5,
Stony Point 12,155,284,39,9,1,0,5,
Stony Point 13,139,239,22,7,0,0,7,
Stony Point 14,72,181,18,7,0,0,4,
COUNTY TOTALS,46250,49602,9518,2475,112,48,2262,
